Product Name,Product Code,Category Name,Type (rent/sell),Color,Size,Rent Price,Sell Price,Discount %,Rental Gap (Max Times),Design Details,Image Filename,Status
ACHAKAN-291[32],A-291[32],ACHAKAN-ANGRAKHU,RENT,GULABI,32,3500,,,1,GULABI COLOUR,,AVAILIBLE 
ACHAKAN-337[40],A-337[40],ACHAKAN-ANGRAKHU,RENT,PICH,40,5000,,,1,MOR AMRODARY,,AVAILIBLE 
ACHAKAN-338[38],A-338[38],ACHAKAN-ANGRAKHU,RENT,PICH,38,5000,,,1,MOR AMRODARY,,AVAILIBLE 
ACHAKAN-339[34],A-339[34],ACHAKAN-ANGRAKHU,RENT,PICH,34,5000,,,1,MOR AMRODARY,,AVAILIBLE 
ACHAKAN-351[36],A-351[36],ACHAKAN-ANGRAKHU,RENT,PICH,36,5000,,,1,MOR AMRODARY,,AVAILIBLE 
ACHAKAN-360[42],A-360[42],ACHAKAN-ANGRAKHU,RENT,PICH,42,5000,,,1,MOR AMRODARY,,AVAILIBLE 
ACHAKAN-380[38],A-380[38],ACHAKAN-ANGRAKHU,RENT,MULTY,38,5000,,,1,MULTY KINKHAB,,AVAILIBLE 
ACHAKAN-381[42],A-381[42],ACHAKAN-ANGRAKHU,RENT,PICH,42,5000,,,1,MOR AMRODARY,,AVAILIBLE 
ACHAKAN-398[40],A-398[40],ACHAKAN-ANGRAKHU,RENT,PICH,40,5000,,,1,MOR AMRODARY,,AVAILIBLE 
ACHAKAN-410[36],A-410[36],ACHAKAN-ANGRAKHU,RENT,ORANGE,36,3500,,,1,ORANGE COLOUR,,AVAILIBLE 
ACHAKAN-415[36],A-415[36],ACHAKAN-ANGRAKHU,RENT,PICH,36,3500,,,1,PICH ORANGE FUL VALU,,AVAILIBLE 
ACHAKAN-417[32],A-417[32],ACHAKAN-ANGRAKHU,RENT,ORANGE,32,5000,,,1,ORANGE KINKHAB,,AVAILIBLE 
ANGRAKHU-429[38],A-429[38],ACHAKAN-ANGRAKHU,RENT,MARUN,38,7000,,,1,MARUN  HATHI,,AVAILIBLE 
ACHAKAN-434[32],A-434[32],ACHAKAN-ANGRAKHU,RENT,ORANGE,32,3500,,,1,ORANGE PICH COLOUR,,AVAILIBLE 
ACHAKAN-448[44],A-448[44],ACHAKAN-ANGRAKHU,RENT,PICH,44,5000,,,1,MOR AMRODARY,,AVAILIBLE 
ACHAKAN-452[38],A-452[38],ACHAKAN-ANGRAKHU,RENT,GOLDEN,38,3500,,,1,GOLDEN MARUN TAPKI,,AVAILIBLE 
ACHAKAN-454[38],A-454[38],ACHAKAN-ANGRAKHU,RENT,CREAM,38,3500,,,1,GOLDEN MARUN TAPKI,,AVAILIBLE 
ACHAKAN-462[34],A-462[34],ACHAKAN-ANGRAKHU,RENT,CREAM,34,3500,,,1,CREAM MARUN TAPKI VALU,,AVAILIBLE 
ACHAKAN-468[30],A-468[30],ACHAKAN-ANGRAKHU,RENT,KESHARI,30,3500,,,1,KESHARI PICH,,AVAILIBLE 
