Product Name,Product Code,Category Name,Type (rent/sell),Color,Size,Rent Price,Sell Price,Discount %,Rental Gap (Max Times),Design Details,Image Filename,Status
SERVANI-458[36],S-458[36],SERVANI,RENT,GULABI,36,10000,,,1,GULABI KASHAB WORK,,AVAILABLE
SERVANI-474[34],,SERVANI,RENT,MARUN,34,10000,,,1,MARUN KASHAB WORK,,AVAILABLE
SERVANI-482[36],,SERVANI,RENT,GULABI,36,10000,,,1,GULABI KASHAB WORK,,AVAILABLE
SERVANI-509[38],,SERVANI,RENT,MARUN,38,10000,,,1,MARUN KASHAB WORK,,AVAILABLE
SERVANI-513[34],,SERVANI,RENT,GULABI,34,10000,,,1,GULABI KASHAB WORK,,AVAILABLE
SERVANI-525[38],,SERVANI,RENT,GULABI,38,10000,,,1,GULABI KASHAB WORK,,AVAILABLE
SERVANI-605[36],,SERVANI,RENT,PICH,36,3500,,,1,PICH LAKHANAVI,,AVAILABLE
SERVANI-614[40],,SERVANI,RENT,GULABI,40,10000,,,1,GULABI KASHAB WORK,,AVAILABLE
SERVANI-624[36],,SERVANI,RENT,GULABI,36,10000,,,1,GULABI KASHAB WORK,,AVAILABLE
INDOWESTERN-652[42],I-652[42],INDOWESTERN,RENT,GULABI,42,5000,,,1,GULABI KOTTI PATERN,,AVAILABLE
SERVANI-665[36],,SERVANI,RENT,GULABI,36,4500,,,1,GULABI GREEN LAKHANVI,,AVAILABLE
INDOWESTERN-667[40],,INDOWESTERN,RENT,WHITE,40,5000,,,1,WHITE KOTTI PATERN,,AVAILABLE
SERVANI-675[36],,SERVANI,RENT,WHITE,36,4500,,,1,WHITE MARUN LAKHANAVI,,AVAILABLE
INDOWESTERN-686[34],,INDOWESTERN,RENT,GULABI,34,5000,,,1,GULABI KOTTI PATERN,,AVAILABLE
INDOWESTERN-690[36],,INDOWESTERN,RENT,WHITE,36,5000,,,1,WHITE KOTTI PATERN,,AVAILABLE
INDOWESTERN-691[38],,INDOWESTERN,RENT,WHITE,38,5000,,,1,WHITE KOTTI PATERN,,AVAILABLE
INDOWESTERN-696[36],,INDOWESTERN,RENT,GULABI,36,5000,,,1,GULABI KOTTI PATERN,,AVAILABLE
INDOWESTERN-697[36],,INDOWESTERN,RENT,GULABI,36,5000,,,1,GULABI KOTTI PATERN,,AVAILABLE
INDOWESTERN-708[36],,INDOWESTERN,RENT,WHITE,36,5000,,,1,WHITE KOTTI PATERN,,AVAILABLE
INDOWESTERN-710[34],,INDOWESTERN,RENT,WHITE,34,5000,,,1,WHITE KOTTI PATERN,,AVAILABLE
INDOWESTERN-724[44],,INDOWESTERN,RENT,GULABI,44,5000,,,1,GULABI KOTTI PATERN,,AVAILABLE
INDOWESTERN-729[34],,INDOWESTERN,RENT,GULABI,34,3500,,,1,GULABI SINH SYMBOL,,AVAILABLE
SERVANI-732[38],,SERVANI,RENT,WHITE,38,4500,,,1,WHITE MARUN LAKHANAVI,,AVAILABLE
SERVANI-743[36],,SERVANI,RENT,WHITE,36,4500,,,1,WHITE MARUN LAKHANAVI,,AVAILABLE
SERVANI-745[36],,SERVANI,RENT,PICH,36,4500,,,1,PICH GULABI ZORZATT,,AVAILABLE
INDOWESTERN-747[42],,INDOWESTERN,RENT,GULABI,42,5000,,,1,GULABI KOTTI PATERN,,AVAILABLE
INDOWESTERN-751[34],,INDOWESTERN,RENT,MARUN,34,3500,,,1,MARUN SYMBOL,,AVAILABLE
INDOWESTERN-752[36],,INDOWESTERN,RENT,MARUN,36,3500,,,1,MARUN SYMBOL,,AVAILABLE
SERVANI-755[34],,SERVANI,RENT,WHITE,34,4500,,,1,WHITE MARUN LAKHANAVI,,AVAILABLE
