code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
A-291[32],ACHAKAN-291[32],rent,ACHAKAN-ANGRAKHU,1,3500,,,GULABI,32,1,available,,,GULABI COLOUR,TRUE
A-337[40],ACHAKAN-337[40],rent,ACHAKAN-ANGRAKHU,1,5000,,,PICH,40,1,available,,,MOR AMRODARY,TRUE
A-338[38],ACHAKAN-338[38],rent,ACHAKAN-ANGRAKHU,1,5000,,,PICH,38,1,available,,,MOR AMRODARY,TRUE
A-339[34],ACHAKAN-339[34],rent,ACHAKAN-ANGRAKHU,1,5000,,,PICH,34,1,available,,,MOR AMRODARY,TRUE
A-351[36],ACHAKAN-351[36],rent,ACHAKAN-ANGRAKHU,1,5000,,,PICH,36,1,available,,,MOR AMRODARY,TRUE
A-360[42],ACHAKAN-360[42],rent,ACHAKAN-ANGRAKHU,1,5000,,,PICH,42,1,available,,,MOR AMRODARY,TRUE
A-380[38],ACHAKAN-380[38],rent,ACHAKAN-ANGRAKHU,1,5000,,,MULTY,38,1,available,,,MULTY KINKHAB,TRUE
A-381[42],ACHAKAN-381[42],rent,ACHAKAN-ANGRAKHU,1,5000,,,PICH,42,1,available,,,MOR AMRODARY,TRUE
A-398[40],ACHAKAN-398[40],rent,ACHAKAN-ANGRAKHU,1,5000,,,PICH,40,1,available,,,MOR AMRODARY,TRUE
A-410[36],ACHAKAN-410[36],rent,ACHAKAN-ANGRAKHU,1,3500,,,ORANGE,36,1,available,,,ORANGE COLOUR,TRUE
A-415[36],ACHAKAN-415[36],rent,ACHAKAN-ANGRAKHU,1,3500,,,PICH,36,1,available,,,PICH ORANGE FUL VALU,TRUE
A-417[32],ACHAKAN-417[32],rent,ACHAKAN-ANGRAKHU,1,5000,,,ORANGE,32,1,available,,,ORANGE KINKHAB,TRUE
A-429[38],ANGRAKHU-429[38],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,38,1,available,,,MARUN  HATHI,TRUE
A-434[32],ACHAKAN-434[32],rent,ACHAKAN-ANGRAKHU,1,3500,,,ORANGE,32,1,available,,,ORANGE PICH COLOUR,TRUE
A-448[44],ACHAKAN-448[44],rent,ACHAKAN-ANGRAKHU,1,5000,,,PICH,44,1,available,,,MOR AMRODARY,TRUE
A-452[38],ACHAKAN-452[38],rent,ACHAKAN-ANGRAKHU,1,3500,,,GOLDEN,38,1,available,,,GOLDEN MARUN TAPKI,TRUE
A-454[38],ACHAKAN-454[38],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,38,1,available,,,GOLDEN MARUN TAPKI,TRUE
A-462[34],ACHAKAN-462[34],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,34,1,available,,,CREAM MARUN TAPKI VALU,TRUE
A-468[30],ACHAKAN-468[30],rent,ACHAKAN-ANGRAKHU,1,3500,,,KESHARI,30,1,available,,,KESHARI PICH,TRUE
A-478[40],ACHAKAN-478[40],rent,ACHAKAN-ANGRAKHU,1,3500,,,PICH,40,1,available,,,PICH MORPICHHH,TRUE
A-484[42],ACHAKAN-484[42],rent,ACHAKAN-ANGRAKHU,1,3500,,,KESHARI,42,1,available,,,KESHARI PICH,TRUE
A-488[36],ACHAKAN-488[36],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,36,1,available,,,CREAM MARUN TAPKI VALU,TRUE
A-493[40],ACHAKAN-493[40],rent,ACHAKAN-ANGRAKHU,1,3500,,,KESHARI,40,1,available,,,KESHARI PICH,TRUE
A-495[34],ANGRAKHU-495[34],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,34,1,available,,,GULABI VELVET HATHI,TRUE
A-496[44],ACHAKAN-496[44],rent,ACHAKAN-ANGRAKHU,1,3500,,,KESHARI,44,1,available,,,KESHARI PICH,TRUE
A-503[36],ANGRAKHU-503[36],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,36,1,available,,,GULABI VELVET HATHI,TRUE
A-512[32],ACHAKAN-512[32],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,32,1,available,,,CREAM MARUN TAPKI VALU,TRUE
A-517[34],ANGRAKHU-517[34],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,34,1,available,,,GULABI VELVET HATHI,TRUE
A-521[44],ACHAKAN-521[44],rent,ACHAKAN-ANGRAKHU,1,3500,,,GULABI,44,1,available,,,GULABI FUL VALU,TRUE
A-522[38],ANGRAKHU-522[38],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,38,1,available,,,GULABI VELVET HATHI,TRUE
A-526[48],ANGRAKHU-526[48],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,48,1,available,,,GULABI VELVET HATHI,TRUE
A-529[34],ACHAKAN-529[34],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,34,1,available,,,CREAM PANDADI VALU,TRUE
A-532[34],ANGRAKHU-532[34],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,34,1,available,,,GULABI VELVET HATHI,TRUE
A-534[34],ANGRAKHU-534[34],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,34,1,available,,,GULABI VELVET HATHI,TRUE
A-535[46],ANGRAKHU-535[46],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,46,1,available,,,GULABI VELVET HATHI,TRUE
A-536[42],ANGRAKHU-536[42],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,42,1,available,,,GULABI VELVET HATHI,TRUE
A-541[40],ANGRAKHU-541[40],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,40,1,available,,,GULABI VELVET HATHI,TRUE
A-543[42],ACHAKAN-543[42],rent,ACHAKAN-ANGRAKHU,1,5000,,,KESHARI,42,1,available,,,KESHARI KINKHAB,TRUE
A-545[32],ANGRAKHU-545[32],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,32,1,available,,,GULABI VELVET HATHI,TRUE
A-546[42],ANGRAKHU-546[42],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,42,1,available,,,GULABI VELVET HATHI,TRUE
A-551[36],ANGRAKHU-551[36],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,36,1,available,,,GULABI VELVET HATHI,TRUE
A-552[36],ACHAKAN-552[36],rent,ACHAKAN-ANGRAKHU,1,3500,,,KESHARI,36,1,available,,,KESHARI VEL VALU,TRUE
A-554[46],ACHAKAN-554[46],rent,ACHAKAN-ANGRAKHU,1,3500,,,PICH,46,1,available,,,PICH GULABI VELVALU,TRUE
A-555[32],ACHAKAN-555[32],rent,ACHAKAN-ANGRAKHU,1,3500,,,KESHARI,32,1,available,,,KESHARI VEL VALU,TRUE
A-558[34],ANGRAKHU-558[34],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,34,1,available,,,MARUN VELVET,TRUE
A-559[36],ANGRAKHU-559[36],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,36,1,available,,,MARUN VELVET,TRUE
A-560[36],ACHAKAN-560[36],rent,ACHAKAN-ANGRAKHU,1,3500,,,ORANGE,36,1,available,,,ORANGE MARUN TAPKI,TRUE
A-562[44],ANGRAKHU-562[44],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,44,1,available,,,GULABI VELVET HATHI,TRUE
A-565[40],ACHAKAN-565[40],rent,ACHAKAN-ANGRAKHU,1,3500,,,PICH,40,1,available,,,PICH ORANGE,TRUE
A-566[40],ACHAKAN-566[40],rent,ACHAKAN-ANGRAKHU,1,3500,,,GULABI,40,1,available,,,GULABI FUL VALU,TRUE
A-567[36],ANGRAKHU-567[36],rent,ACHAKAN-ANGRAKHU,1,7000,,,PURPLE,36,1,available,,,PURPLE AMRODARY,TRUE
A-568[36],ANGRAKHU-568[36],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,36,1,available,,,MARUN VELVET,TRUE
A-570[40],ANGRAKHU-570[40],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,40,1,available,,,MARUN VELVET,TRUE
A-571[38],ACHAKAN-571[38],rent,ACHAKAN-ANGRAKHU,1,3500,,,GULABI,38,1,available,,,GULABI FUL VALU,TRUE
A-573[38],ANGRAKHU-573[38],rent,ACHAKAN-ANGRAKHU,1,7000,,,PURPLE,38,1,available,,,PURPLE AMRODARY,TRUE
A-574[34],ANGRAKHU-574[34],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,34,1,available,,,MARUN KERI DESIGN,TRUE
A-575[34],ACHAKAN-575[34],rent,ACHAKAN-ANGRAKHU,1,3500,,,GULABI,34,1,available,,,GULABI MARUN TAPKI,TRUE
A-576[42],ANGRAKHU-576[42],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,42,1,available,,,MARUN VELVET,TRUE
A-577[38],ACHAKAN-577[38],rent,ACHAKAN-ANGRAKHU,1,3500,,,GULABI,38,1,available,,,GULABI FUL VALU,TRUE
A-578[44],ACHAKAN-578[44],rent,ACHAKAN-ANGRAKHU,1,3500,,,PICH,44,1,available,,,PICH ORANGE VEL VALU,TRUE
A-584[34],ACHAKAN-584[34],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,34,1,available,,,CREAM GOLDEN,TRUE
A-585[36],ANGRAKHU-585[36],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,36,1,available,,,MARUN VELVET,TRUE
A-586[40],ANGRAKHU-586[40],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,40,1,available,,,MARUN VELVET,TRUE
A-587[40],ACHAKAN-587[40],rent,ACHAKAN-ANGRAKHU,1,3500,,,PICH,40,1,available,,,PICH ORANGE,TRUE
A-588[38],ANGRAKHU-588[38],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,38,1,available,,,MARUN VELVET HATHI ,TRUE
A-590[38],ACHAKAN-590[38],rent,ACHAKAN-ANGRAKHU,1,3500,,,ORANGE,38,1,available,,,ORANGE VELVALU,TRUE
A-591[42],ACHAKAN-591[42],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,42,1,available,,,CREAM GOLDEN MARUN TAPKI,TRUE
A-592[36],ANGRAKHU-592[36],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,36,1,available,,,MARUN VELVET DORI HATHI,TRUE
A-593[46],ANGRAKHU-593[46],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,46,1,available,,,MARUN VELVET DORI HATHI,TRUE
A-595[34],ANGRAKHU-595[34][,rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,34,1,available,,,MARUN VELVET DORI HATHI,TRUE
A-596[34],ANGRAKHU-596[34],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,34,1,available,,,GULABI VELVET HATHI,TRUE
A-597[40],ANGRAKHU-597[40],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,40,1,available,,,MARUN GALA MA WORK VALU,TRUE
A-599[42],ANGRAKHU-599[42],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,42,1,available,,,MARUN VELVET DORI HATHI,TRUE
A-600[42],ANGRAKHU-600[42],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,42,1,available,,,MARUN VELVET DORI HATHI,TRUE
A-601[40],ACHAKAN-601[40],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,40,1,available,,,CREAM GOLDEN ,TRUE
A-602[40],ACHAKAN-602[40],rent,ACHAKAN-ANGRAKHU,1,3500,,,WHITE,40,1,available,,,WHITE GOLDEN ,TRUE
A-603[44],ACHAKAN-603[44],rent,ACHAKAN-ANGRAKHU,1,3500,,,ORANGE,44,1,available,,,ORANGE FUL,TRUE
A-604[40],ACHAKAN-604[40],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,40,1,available,,,CREAM GOLDEN,TRUE
A-606[38],ACHAKAN-606[38],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,38,1,available,,,SILVER CREAM FUL VALU,TRUE
A-607[42],ANGRAKHU-607[42],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,42,1,available,,,MARUN VELVET DORI HATHI,TRUE
A-608[42],ACHAKAN-608[42],rent,ACHAKAN-ANGRAKHU,1,3500,,,WHITE,42,1,available,,,WHITE CREAM FUL VALU,TRUE
A-610[38],ACHAKAN-610[38],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,38,1,available,,,CREAM GOLDEN VELVALU,TRUE
A-611[36],ACHAKAN-611[36],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,36,1,available,,,CREAM FULVALU,TRUE
A-612[34],ACHAKAN-612[34],rent,ACHAKAN-ANGRAKHU,1,3500,,,PICH,34,1,available,,,PICH VELVALU,TRUE
A-613[46],ANGRAKHU-613[46],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,46,1,available,,,MARUN VELVET DORI HATHI,TRUE
A-614[34],ANGRAKHU-614[34],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,34,1,available,,,MARUN VELVET DORI HATHI,TRUE
A-616[40],ANGRAKHU-616[40],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,40,1,available,,,MARUN VELVET DORI HATHI,TRUE
A-618[40],ANGRAKHU-618[40],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,40,1,available,,,MARUN JANVALU,TRUE
A-619[42],ANGRAKHU-619[42],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,42,1,available,,,GULABI VELVET HATHI,TRUE
A-620[38],ANGRAKHU-620[38],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,38,1,available,,,MARUN JANVALU,TRUE
A-621[42],ANGRAKHU-621[42],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,42,1,available,,,GULABI VELVET HATHI,TRUE
A-622[34],ANGRAKHU-622[34],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,34,1,available,,,GULABI VELVET HATHI,TRUE
A-623[32],ACHAKAN-623[32],rent,ACHAKAN-ANGRAKHU,1,3500,,,WHITE,32,1,available,,,WHITE FULVALU,TRUE
A-624[38],ACHAKAN-624[38],rent,ACHAKAN-ANGRAKHU,1,3500,,,PICH,38,1,available,,,PICH FUL VALU,TRUE
A-626[32],ANGRAKHU-626[32],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,32,1,available,,,MARUN VELVET PLANE DORI,TRUE
A-629[36],ANGRAKHU-629[36],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,36,1,available,,,MARUN NEW ORANGE FULVALU,TRUE
A-631[36],ANGRAKHU-631[36],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,36,1,available,,,MARUN VELVET,TRUE
A-632[34],ACHAKAN-632[34],rent,ACHAKAN-ANGRAKHU,1,3500,,,WHITE,34,1,available,,,WHITE FULVALU,TRUE
A-633[34],ACHAKAN-633[34],rent,ACHAKAN-ANGRAKHU,1,3500,,,PICH,34,1,available,,,PICH VELVALU,TRUE
A-634[34],ANGRAKHU-634[34],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,34,1,available,,,MARUN VELVET HATHI ,TRUE
A-636[36],ACHAKAN-636[36],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,36,1,available,,,CREAM FULVALU,TRUE
A-637[42],ANGRAKHU-637[42],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,42,1,available,,,GULABI VELVET HATHI,TRUE
A-638[44],ANGRAKHU-638[44],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,44,1,available,,,MARUN VELVET PLANE DORI,TRUE
A-639[38],ANGRAKHU-639[38],rent,ACHAKAN-ANGRAKHU,1,7000,,,PURPLE,38,1,available,,,PURPLE AMRODARY,TRUE
A-640[38],ACHAKAN-640[38],rent,ACHAKAN-ANGRAKHU,1,3500,,,ORANGE,38,1,available,,,ORANGE COLOUR,TRUE
A-641[34],ACHAKAN-641[34],rent,ACHAKAN-ANGRAKHU,1,3500,,,KESHARI,34,1,available,,,KESHARI COLOUR,TRUE
A-642[32],ANGRAKHU-642[32],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,32,1,available,,,MARUN VELVET JANVALU,TRUE
A-643[36],ACHAKAN-643[36],rent,ACHAKAN-ANGRAKHU,1,3500,,,SKYBLUE,36,1,available,,,SKY BLUE GULABI ,TRUE
A-644[32],ANGRAKHU-644[32],rent,ACHAKAN-ANGRAKHU,1,7000,,,GULABI,32,1,available,,,GULABI VELVET HATHI,TRUE
A-646[40],ACHAKAN-646[40],rent,ACHAKAN-ANGRAKHU,1,3500,,,ORANGE,40,1,available,,,ORANGE GREEN TAPKI,TRUE
A-647[36],ANGRAKHU-647[36],rent,ACHAKAN-ANGRAKHU,1,7000,,,PURPLE,36,1,available,,,PURPLE AMRODARY,TRUE
A-648[42],ANGRAKHU-648[42],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,42,1,available,,,MARUN VELVET DORI HATHI,TRUE
A-649[42],ACHAKAN-649[42],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,42,1,available,,,CREAM GOLDEN MARUN TAPKI,TRUE
A-650[38],ANGRAKHU-650[38],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,38,1,available,,,MARUN VELVET HATHI ,TRUE
A-651[38],ANGRAKHU-651[38],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,38,1,available,,,MARUN VELVET BUTTA VALU,TRUE
A-652[36],ANGRAKHU-652[36],rent,ACHAKAN-ANGRAKHU,1,7000,,,GREEN,36,1,available,,,GREEN VELVET HATHI,TRUE
A-653[36],ANGRAKHU-653[36],rent,ACHAKAN-ANGRAKHU,1,7000,,,PURPLE,36,1,available,,,PURPLE AMRODARY[LONG],TRUE
A-654[38],ACHAKAN-654[38],rent,ACHAKAN-ANGRAKHU,1,3500,,,WHITE,38,1,available,,,WHITE FULVALU,TRUE
A-655[40],ANGRAKHU-655[40],rent,ACHAKAN-ANGRAKHU,1,11000,,,GULABI,40,1,available,,,DARK GULABI TISHYU,TRUE
A-656[36],ACHAKAN-656[36],rent,ACHAKAN-ANGRAKHU,1,3500,,,ORANGE,36,1,available,,,LIGHT ORANGE,TRUE
A-657[36],ANGRAKHU-657[36],rent,ACHAKAN-ANGRAKHU,1,11000,,,GOLDEN,36,1,available,,,GOLDEN TISHYU,TRUE
A-658[40],ACHAKAN-658[40],rent,ACHAKAN-ANGRAKHU,1,3500,,,GULABI,40,1,available,,,GULABI KERI VALU,TRUE
A-659[38],ACHAKAN-659[38],rent,ACHAKAN-ANGRAKHU,1,3500,,,GULABI,38,1,available,,,DARK GULABI,TRUE
A-660[44],ACHAKAN-660[44],rent,ACHAKAN-ANGRAKHU,1,3500,,,SKYBLUE,44,1,available,,,SKY BLUE GULABI ,TRUE
A-661[34],ACHAKAN-661[34],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,34,1,available,,,CREAM MARUN TAPKI VALU,TRUE
A-662[36],ACHAKAN-662[36],rent,ACHAKAN-ANGRAKHU,1,3500,,,CREAM,36,1,available,,,CREAM MARUN TAPKI VALU,TRUE
A-663[40],ANGRAKHU-663[40],rent,ACHAKAN-ANGRAKHU,1,7000,,,MARUN,40,1,available,,,MARUN VELVET ALL WORK [LONG],TRUE
