code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
AN-25[40],ANARKALI-25[40],rent,ANARKALI,1,,,,MARUN,40,1,available,,,MARUN COLOR,TRUE
AN-76[36],ANARKALI-76[36],rent,ANARKALI,1,,,,PICH,36,1,available,,,PICH COLOR,TRUE
AN-78[38],ANARKALI-78[38],rent,ANARKALI,1,,,,PICH,38,1,available,,,PICH COLOR,TRUE
AN-80[34],ANARKALI-80[34],rent,ANARKALI,1,,,,PICH,34,1,available,,,PICH COLOR,TRUE
AN-81[42],ANARKALI-81[42],rent,ANARKALI,1,,,,PICH,42,1,available,,,PICH COLOR,TRUE
AN-86[38],ANARKALI-86[38],rent,ANARKALI,1,,,,PICH,38,1,available,,,PICH COLOR,TRUE
AN-91[40],ANARKALI-91[40],rent,ANARKALI,1,,,,PICH,40,1,available,,,PICH COLOR,TRUE
AN-94[40],ANARKALI-94[40],rent,ANARKALI,1,,,,CREAM,40,1,available,,,CREAM COLOR,TRUE
AN-95[36],ANARKALI-95[36],rent,ANARKALI,1,,,,PCH,36,1,available,,,PICH COLOR,TRUE
AN-96[34],ANARKALI-96[34],rent,ANARKALI,1,,,,PICH,34,1,available,,,PICH COLOR,TRUE
AN-97[40],ANARKALI-97[40],rent,ANARKALI,1,,,,PICH,40,1,available,,,PICH COLOR,TRUE
AN-99[36],ANARKALI-99[36],rent,ANARKALI,1,,,,PICH,36,1,available,,,PICH COLOR,TRUE
AN-101[38],ANARKALI-101[38],rent,ANARKALI,1,,,,PICH,38,1,available,,,PICH COLOR,TRUE
AN-102[42],ANARKALI-102[42],rent,ANARKALI,1,,,,PICH,42,1,available,,,PICH COLOR,TRUE
AN-103[38],ANARKALI-103[38],rent,ANARKALI,1,,,,PICH,38,1,available,,,PICH COLOR,TRUE
AN-104[40],ANARKALI-104[40],rent,ANARKALI,1,,,,PICH,40,1,available,,,PICH COLOR,TRUE
AN-105[36],ANARKALI-105[36],rent,ANARKALI,1,,,,PICH,36,1,available,,,PICH COLOR,TRUE
AN-106[38],ANARKALI-106[38],rent,ANARKALI,1,,,,PICH,38,1,available,,,PICH COLOR,TRUE
AN-107[36],ANARKALI-107[36],rent,ANARKALI,1,,,,PICH,36,1,available,,,PICH COLOR,TRUE
AN-109[38],ANARKALI-109[38],rent,ANARKALI,1,,,,PICH,38,1,available,,,PICH COLOR,TRUE
AN-110[42],ANARKALI-110[42],rent,ANARKALI,1,,,,PICH,42,1,available,,,PICH COLOR,TRUE
AN-111[42],ANARKALI-111[42],rent,ANARKALI,1,,,,PICH,42,1,available,,,PICH COLOR,TRUE
AN-115[36],ANARKALI-115[36],rent,ANARKALI,1,,,,PICH,36,1,available,,,PICH COLOR,TRUE
AN-116[36],ANARKALI-116[36],rent,ANARKALI,1,,,,PICH,36,1,available,,,PICH COLOR,TRUE
AN-117[38],ANARKALI-117[38],rent,ANARKALI,1,,,,PICH,38,1,available,,,PICH COLOR,TRUE
AN-118[34],ANARKALI-118[34],rent,ANARKALI,1,,,,PICH,34,1,available,,,PICH COLOR,TRUE
AN-119[40],ANARKALI-119[40],rent,ANARKALI,1,,,,PICH,40,1,available,,,PICH COLOR,TRUE
AN-122[38],ANARKALI-122[38],rent,ANARKALI,1,,,,PICH,38,1,available,,,PICH COLOR,TRUE
AN-123[36],ANARKALI-123[36],rent,ANARKALI,1,,,,PICH,36,1,available,,,PICH COLOR,TRUE
AN-124[38],ANARKALI-124[38],rent,ANARKALI,1,,,,PICH,38,1,available,,,PICH COLOR,TRUE
AN-125[36],ANARKALI-125[36],rent,ANARKALI,1,,,,PICH,36,1,available,,,PICH COLOR,TRUE
AN-126[42],ANARKALI-126[42],rent,ANARKALI,1,,,,PICH,42,1,available,,,PICH COLOR,TRUE
AN-127[36],ANARKALI-127[36],rent,ANARKALI,1,,,,PICH,36,1,available,,,PICH COLOR,TRUE
AN-128[42],ANARKALI-128[42],rent,ANARKALI,1,,,,PICH,42,1,available,,,PICH COLOR,TRUE
AN-129[38],ANARKALI-129[38],rent,ANARKALI,1,,,,PICH,38,1,available,,,PICH COLOR,TRUE
AN-131[42],ANARKALI-131[42],rent,ANARKALI,1,,,,PICH,42,1,available,,,PICH COLOR,TRUE
AN-132[34],ANARKALI-132[34],rent,ANARKALI,1,,,,PICH,34,1,available,,,PICH COLOR,TRUE
AN-134[36],ANARKALI-134[36],rent,ANARKALI,1,,,,GOLDEN,36,1,available,,,GOLDEN PRINTED,TRUE
AN-137[36],ANARKALI-137[36],rent,ANARKALI,1,,,,WHITE,36,1,available,,,WHITE BUTTI,TRUE
AN-138[40],ANARKALI-138[40],rent,ANARKALI,1,,,,WHITE,40,1,available,,,WHITE BUTTI,TRUE
AN-139[40],ANARKALI-139[40],rent,ANARKALI,1,,,,PICH,40,1,available,,,PICH COLOR,TRUE
AN-141[40],ANARKALI-141[40],rent,ANARKALI,1,,,,PICH,40,1,available,,,PICH COLOR,TRUE
AN-142[36],ANARKALI-142[36],rent,ANARKALI,1,,,,WHITE,36,1,available,,,WHITE BUTTI,TRUE
AN-144[40],ANARKALI-144[40],rent,ANARKALI,1,,,,WHITE,40,1,available,,,WHITE BUTTI,TRUE
AN-145[34],ANARKALI-145[34],rent,ANARKALI,1,,,,PICH,34,1,available,,,PICH COLOR,TRUE
AN-146[40],ANARKALI-146[40],rent,ANARKALI,1,,,,PICH,40,1,available,,,PICH COLOR,TRUE
AN-147[40],ANARKALI-147[40],rent,ANARKALI,1,,,,PICH,40,1,available,,,PICH COLOR,TRUE
AN-148[36],ANARKALI-148[36],rent,ANARKALI,1,,,,WHITE,36,1,available,,,WHITE BUTTI,TRUE
AN-149[38],ANARKALI-149[38],rent,ANARKALI,1,,,,WHITE,38,1,available,,,WHITE BUTTI,TRUE
AN-150[36],ANARKALI-150[36],rent,ANARKALI,1,,,,PICH,36,1,available,,,PICH COLOR,TRUE
AN-151[38],ANARKALI-151[38],rent,ANARKALI,1,,,,PICH,38,1,available,,,PICH COLOR,TRUE
AN-152[40],ANARKALI-152[40],rent,ANARKALI,1,,,,PICH,40,1,available,,,PICH COLOR,TRUE
AN-154[42],ANARKALI-154[42],rent,ANARKALI,1,,,,PICH,42,1,available,,,PICH COLOR,TRUE
AN-155[34],ANARKALI-155[34],rent,ANARKALI,1,,,,PICH,34,1,available,,,PICH COLOR,TRUE
AN-157[36],ANARKALI-157[36],rent,ANARKALI,1,,,,PICH,36,1,available,,,PICH COLOR,TRUE
AN-158[38],ANARKALI-158[38],rent,ANARKALI,1,,,,PICH,38,1,available,,,PICH COLOR,TRUE
AN-159[40],ANARKALI-159[40],rent,ANARKALI,1,,,,WHITE,38,1,available,,,WHITE BUTTI,TRUE
AN-160[34],ANARKALI-160[34],rent,ANARKALI,1,,,,PICH,34,1,available,,,PICH COLOR,TRUE
