code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
S-458[36],SERVANI-458[36],rent,SERVANI-INDOWESTERN,1,10000,,,GULABI,36,1,available,,,GULABI KASHAB WORK,TRUE
S-474[34],SERVANI-474[34],rent,SERVANI-INDOWESTERN,1,10000,,,MARUN,34,1,available,,,MARUN KASHAB WORK,TRUE
S-482[36],SERVANI-482[36],rent,SERVANI-INDOWESTERN,1,10000,,,GULABI,36,1,available,,,GULABI KASHAB WORK,TRUE
S-509[38],SERVANI-509[38],rent,SERVANI-INDOWESTERN,1,10000,,,MARUN,38,1,available,,,MARUN KASHAB WORK,TRUE
S-513[34],SERVANI-513[34],rent,SERVANI-INDOWESTERN,1,10000,,,GULABI,34,1,available,,,GULABI KASHAB WORK,TRUE
S-525[38],SERVANI-525[38],rent,SERVANI-INDOWESTERN,1,10000,,,GULABI,38,1,available,,,GULABI KASHAB WORK,TRUE
S-605[36],SERVANI-605[36],rent,SERVANI-INDOWESTERN,1,3500,,,PICH,36,1,available,,,PICH LAKHANAVI,TRUE
S-614[40],SERVANI-614[40],rent,SERVANI-INDOWESTERN,1,10000,,,GULABI,40,1,available,,,GULABI KASHAB WORK,TRUE
S-624[36],SERVANI-624[36],rent,SERVANI-INDOWESTERN,1,10000,,,GULABI,36,1,available,,,GULABI KASHAB WORK,TRUE
S-652[42],INDOWESTERN-652[42],rent,SERVANI-INDOWESTERN,1,5000,,,GULABI,42,1,available,,,GULABI KOTTI PATERN,TRUE
S-665[36],SERVANI-665[36],rent,SERVANI-INDOWESTERN,1,4500,,,GULABI,36,1,available,,,GULABI GREEN LAKHANVI,TRUE
S-667[40],INDOWESTERN-667[40],rent,SERVANI-INDOWESTERN,1,5000,,,WHITE,40,1,available,,,WHITE KOTTI PATERN,TRUE
S-675[36],SERVANI-675[36],rent,SERVANI-INDOWESTERN,1,4500,,,WHITE,36,1,available,,,WHITE MARUN LAKHANAVI,TRUE
S-686[34],INDOWESTERN-686[34],rent,SERVANI-INDOWESTERN,1,5000,,,GULABI,34,1,available,,,GULABI KOTTI PATERN,TRUE
S-690[36],INDOWESTERN-690[36],rent,SERVANI-INDOWESTERN,1,5000,,,WHITE,36,1,available,,,WHITE KOTTI PATERN,TRUE
S-691[38],INDOWESTERN-691[38],rent,SERVANI-INDOWESTERN,1,5000,,,WHITE,38,1,available,,,WHITE KOTTI PATERN,TRUE
S-696[36],INDOWESTERN-696[36],rent,SERVANI-INDOWESTERN,1,5000,,,GULABI,36,1,available,,,GULABI KOTTI PATERN,TRUE
S-697[36],INDOWESTERN-697[36],rent,SERVANI-INDOWESTERN,1,5000,,,GULABI,36,1,available,,,GULABI KOTTI PATERN,TRUE
S-708[36],INDOWESTERN-708[36],rent,SERVANI-INDOWESTERN,1,5000,,,WHITE,36,1,available,,,WHITE KOTTI PATERN,TRUE
S-710[34],INDOWESTERN-710[34],rent,SERVANI-INDOWESTERN,1,5000,,,WHITE,34,1,available,,,WHITE KOTTI PATERN,TRUE
S-724[44],INDOWESTERN-724[44],rent,SERVANI-INDOWESTERN,1,5000,,,GULABI,44,1,available,,,GULABI KOTTI PATERN,TRUE
S-729[34],INDOWESTERN-729[34],rent,SERVANI-INDOWESTERN,1,3500,,,GULABI,34,1,available,,,GULABI SINH SYMBOL,TRUE
S-732[38],SERVANI-732[38],rent,SERVANI-INDOWESTERN,1,4500,,,WHITE,38,1,available,,,WHITE MARUN LAKHANAVI,TRUE
S-743[36],SERVANI-743[36],rent,SERVANI-INDOWESTERN,1,4500,,,WHITE,36,1,available,,,WHITE MARUN LAKHANAVI,TRUE
S-745[36],SERVANI-745[36],rent,SERVANI-INDOWESTERN,1,4500,,,PICH,36,1,available,,,PICH GULABI ZORZATT,TRUE
S-747[42],INDOWESTERN-747[42],rent,SERVANI-INDOWESTERN,1,5000,,,GULABI,42,1,available,,,GULABI KOTTI PATERN,TRUE
S-751[34],INDOWESTERN-751[34],rent,SERVANI-INDOWESTERN,1,3500,,,MARUN,34,1,available,,,MARUN SYMBOL,TRUE
S-752[36],INDOWESTERN-752[36],rent,SERVANI-INDOWESTERN,1,3500,,,MARUN,36,1,available,,,MARUN SYMBOL,TRUE
S-755[34],SERVANI-755[34],rent,SERVANI-INDOWESTERN,1,4500,,,WHITE,34,1,available,,,WHITE MARUN LAKHANAVI,TRUE
S-756[34],INDOWESTERN-756[34],rent,SERVANI-INDOWESTERN,1,3500,,,BLUE,34,1,available,,,BLUE SYMBOL,TRUE
S-757[36],INDOWESTERN-757[36],rent,SERVANI-INDOWESTERN,1,3500,,,BLUE,36,1,available,,,BLUE SYMBOL,TRUE
S-760[40],INDOWESTERN-760[40],rent,SERVANI-INDOWESTERN,1,3500,,,BLUE,40,1,available,,,BLUE SYMBOL,TRUE
S-761[38],INDOWESTERN-761[38],rent,SERVANI-INDOWESTERN,1,3500,,,WHITE,38,1,available,,,WHITE SYMBOL,TRUE
S-764[38],INDOWESTERN-764[38],rent,SERVANI-INDOWESTERN,1,3500,,,GULABI,38,1,available,,,GULABI SYMBOL,TRUE
S-765[36],INDOWESTERN-765[36],rent,SERVANI-INDOWESTERN,1,3500,,,GULABI,36,1,available,,,GULABI SYMBOL,TRUE
S-766[34],SERVANI-766[34],rent,SERVANI-INDOWESTERN,1,4500,,,WHITE,34,1,available,,,WHITE GULABI LAKHANAVI,TRUE
