code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
J-11[34],JODHPURI-11[34],rent,JODHPURI,1,1500,,,BLACK,34,1,available,,,BLACK HUNTER,TRUE
J-118[40],JODHPURI-118[40],rent,JODHPURI,1,1100,,,BLACK,40,1,available,,,BLACK PLANE,TRUE
J-177[36],JODHPURI-177[36],rent,JODHPURI,1,1500,,,BLACK,36,1,available,,,BLACK HUNTER,TRUE
J-185[36],JODHPURI-185[36],rent,JODHPURI,1,1100,,,BLACK,36,1,available,,,BLACK PLANE,TRUE
J-239[38],JODHPURI-239[38],rent,JODHPURI,1,1100,,,BLACK,38,1,available,,,BLACK PLANE,TRUE
J-333[34],JODHPURI-333[34],rent,JODHPURI,1,1500,,,CREAM,34,1,available,,,CREAM HUNTER,TRUE
J-375[34],JODHPURI-375[34],rent,JODHPURI,1,1800,,,COFI,34,1,available,,,COFI SINH SIMBOL,TRUE
J-376[36],JODHPURI-376[36],rent,JODHPURI,1,1800,,,COFI,36,1,available,,,COFI SINH SIMBOL,TRUE
J-388[34],JODHPURI-388[34],rent,JODHPURI,1,1800,,,GULABI,34,1,available,,,GULABI SINH TALVAR SAIMBOL,TRUE
J-389[38],JODHPURI-389[38],rent,JODHPURI,1,1800,,,BLUE,38,1,available,,,BLUE SINH SIMBOL,TRUE
J-390[36],JODHPURI-390[36],rent,JODHPURI,1,1800,,,COFI,36,1,available,,,COFI SINH SIMBOL,TRUE
J-395[40],JODHPURI-395[40],rent,JODHPURI,1,1800,,,BLUE,40,1,available,,,BLUE SINH SIMBOL,TRUE
J-404[34],JODHPURI-404[34],rent,JODHPURI,1,1800,,,BLUE,34,1,available,,,BLUE SINH SIMBOL,TRUE
J-408[34],JODHPURI-408[34],rent,JODHPURI,1,1800,,,BLUE,34,1,available,,,BLUE SINH SIMBOL,TRUE
J-410[36],JODHPURI-410[36],rent,JODHPURI,1,1800,,,GULABI,36,1,available,,,GULABI SINH SIMBOL,TRUE
J-411[34],JODHPURI-411[34],rent,JODHPURI,1,1800,,,MARUN,34,1,available,,,MARUN SINH SIMBOL,TRUE
J-413[34],JODHPURI-413[34],rent,JODHPURI,1,1800,,,GULABI,34,1,available,,,GULABI SINH SIMBOL,TRUE
J-416[40],JODHPURI-416[40],rent,JODHPURI,1,1800,,,MARUN,40,1,available,,,MARUN SINH SIMBOL,TRUE
J-417[38],JODHPURI-417[38],rent,JODHPURI,1,1800,,,WHITE,38,1,available,,,WHITE SIMBOL,TRUE
J-418[40],JODHPURI-418[40],rent,JODHPURI,1,1800,,,GULABI,40,1,available,,,GULABI SIMBOL,TRUE
J-419[32],JODHPURI-419[32],rent,JODHPURI,1,1800,,,BLUE,32,1,available,,,BLUE SINH SIMBOL,TRUE
J-420[32],JODHPURI-420[32],rent,JODHPURI,1,1800,,,MARUN,32,1,available,,,MARUN SINH SIMBOL,TRUE
J-421[38],JODHPURI-421[38],rent,JODHPURI,1,1800,,,MARUN ,38,1,available,,,MARUN SINH SIMBOL,TRUE
J-422[36],JODHPURI-422[36],rent,JODHPURI,1,1800,,,MARUN,36,1,available,,,MARUN SINH SIMBOL,TRUE
J-423[34],JODHPURI-423[34],rent,JODHPURI,1,1800,,,GULABI,34,1,available,,,GULABI SINH SIMBOL,TRUE
J-424[34],JODHPURI-424[34],rent,JODHPURI,1,1800,,,BLUE,34,1,available,,,BLUE SINH SIMBOL,TRUE
J-425[36],JODHPURI-425[36],rent,JODHPURI,1,1800,,,GULABI,36,1,available,,,GULABI SINH SIMBOL,TRUE
J-426[32],JODHPURI-426[32],rent,JODHPURI,1,1800,,,GULABI,32,1,available,,,GULABI SINH SIMBOL,TRUE
J-427[34],JODHPURI-427[34],rent,JODHPURI,1,1800,,,BLUE,34,1,available,,,BLUE SINH SIMBOL,TRUE
J-429[34],JODHPURI-429[34],rent,JODHPURI,1,1800,,,GULABI,34,1,available,,,GULABI SINH SIMBOL,TRUE
J-431[44],JODHPURI-431[44],rent,JODHPURI,1,1800,,,BLUE,44,1,available,,,BLUE SINH SIMBOL,TRUE
J-434[40],JODHPURI-434[40],rent,JODHPURI,1,1800,,,BLUE,40,1,available,,,BLUE SINH SIMBOL,TRUE
J-436[42],JODHPURI-436[42],rent,JODHPURI,1,1800,,,BLUE,42,1,available,,,BLUE SINH SIMBOL,TRUE
J-437[44],JODHPURI-437[44],rent,JODHPURI,1,1800,,,MARUN,44,1,available,,,MARUN SINH SIMBOL,TRUE
J-440[42],JODHPURI-440[42],rent,JODHPURI,1,1800,,,MARUN,42,1,available,,,MARUN SINH SIMBOL,TRUE
J-443[32],JODHPURI-443[32],rent,JODHPURI,1,1800,,,BLUE,32,1,available,,,BLUE SINH SIMBOL,TRUE
J-445[32],JODHPURI-445[32],rent,JODHPURI,1,1800,,,COFI,32,1,available,,,COFI SINH SIMBOL,TRUE
J-446[38],JODHPURI-446[38],rent,JODHPURI,1,1800,,,COFI,38,1,available,,,COFI SINH SIMBOL,TRUE
J-447[32],JODHPURI-447[32],rent,JODHPURI,1,1800,,,WHITE,32,1,available,,,WHITE SIMBOL,TRUE
