code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
H-1[34],ACHAKAN H-1 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE,34,3,available,,,JINI FLOWER,TRUE
H-2[42],ACHAKAN H-2 [42],rent,ANGARAKHU-ACHAKAN,1,3000,,,GOLDEN,42,3,available,,,MAROON TAPKI ,TRUE
H-3[40],ANGARAKHU H-3 [40],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,40,3,available,,,VELVET HATHI VADU GALE VARGHODA,TRUE
H-4[40],ANGARAKHU H-4 [40],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROOR ,40,3,available,,,VELVET CROSS PATTERN GALE FUDADI WORK,TRUE
H-5[38],ANGARAKHU H-5 [38],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,38,3,available,,,VELVET HATHI VADU ,TRUE
H-6[34],ANGARAKHU H-6 [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK ,34,3,available,,,VELVET HATHI VADU,TRUE
H-7[44],ACHAKAN H-7 [44],rent,ANGARAKHU-ACHAKAN,1,3000,,,ORANG,44,3,available,,,JINI PRINT,TRUE
H-8[32],ANGARAKHU H-8 [32],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,32,3,available,,,VELVET VEL WORK VADU,TRUE
H-9[36],ANGARAKHU H-9 [36],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON ,36,3,available,,,VELVET LAL HATHI & NICHE BUTTA,TRUE
H-10[42],ACHAKAN H-10 [42],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE ,42,3,available,,,JINI PRINT,TRUE
H-11[40],ANGARAKHU H-11 [40],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON ,40,3,available,,,VELVET GOLDEN BUTTA &NICHE LAL HATHI ,TRUE
H-12[38],ANGARAKHU H-12 [38],rent,ANGARAKHU-ACHAKAN,1,7000,,,RINGANI,38,3,available,,,VELVET KAT GALAVADU NICHE BUTTA,TRUE
H-13[38],ANGARAKHU H-13 [38],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,38,3,available,,,VELEVT HATHI VADU,TRUE
H-14[38],ACHAKAN H-14 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,PINK,38,3,available,,,MAROON TAPKI GOLDEN FLOWER,TRUE
H-15[38],ACHAKAN H-15 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,GOLDEN ,38,3,available,,,MAROON TAPKI  KALASH DESIGN,TRUE
H-16[34],ANGARAKHU H-16 [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON ,34,3,available,,,VELVET MAROON HATHI ,TRUE
H-17[40],ANGARAKHU H-17 [40],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON ,40,3,available,,,MAROON VELVET HATHI VADU,TRUE
H-18[36],ACHAKAN H-18 [36],rent,ANGARAKHU-ACHAKAN,1,3000,,,PINK,36,3,available,,,JINI PRINT,TRUE
H-19[38],ANGARAKHU H-19 [38],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,38,3,available,,,VEL VADU,TRUE
