code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
I-01[38],INDO -01 [38],rent,INDOWESTERN,1,,,,GULABI,38,3,available,,,LALABHAI VADU,TRUE
I-02[46],INDO-02 [46],rent,INDOWESTERN,1,,,,GULABI,46,3,available,,,SINH MOR SIMBOL,TRUE
I-03[34],INDO-03 [34],rent,INDOWESTERN,1,,,,PICH,34,3,available,,,JORJET ,TRUE
I-04[36],INDO-04 [36],rent,INDOWESTERN,1,,,,PICH,36,3,available,,,GHODA HARAN WORK VADU,TRUE
I-05[34],INDO-05 [34],rent,INDOWESTERN,1,,,,GULABI,34,3,available,,,LALABHAI VADU,TRUE
I-06[34],INDO-06 [34],rent,INDOWESTERN,1,,,,PICH,34,3,available,,,MULTI NEW MOTI PRINT,TRUE
I-07[42],INDO-07 [42],rent,INDOWESTERN,1,,,,WHITE,42,3,available,,,MULTI KOTHARIYA,TRUE
I-08[36],INDO-08 [36],rent,INDOWESTERN,1,,,,GULABI,36,3,available,,,LAKHNAVI,TRUE
I-09[36],INDO-09 [36],rent,INDOWESTERN,1,,,,GULABI,36,3,available,,,LALABHAI VADU,TRUE
I-10[34],INDO-10 [34],rent,INDOWESTERN,1,,,,MULTI,34,3,available,,,ASPAN CHOKDA VADU,TRUE
I-11[38],INDO-11 [38],rent,INDOWESTERN,1,,,,WHITE,38,3,available,,,DAMAN GULABI WORK VADU,TRUE
I-12[38],INDO-12 [38],rent,INDOWESTERN,1,,,,WHITE,38,3,available,,,RANI GULABI RAJA RANI,TRUE
I-13[34],INDO-13 [34],rent,INDOWESTERN,1,,,,WHITE,34,3,available,,,MAKHHI WORK MARUN DAMAN,TRUE
I-14[38],INDO-14 [38],rent,INDOWESTERN,1,,,,BLUE,38,3,available,,,VELVET PAN VADI MULTI,TRUE
I-15[34],INDO-15 [34],rent,INDOWESTERN,1,,,,RINGANI,34,3,available,,,VELVET MULTI NEW,TRUE
I-16[40],INDO-16 [40],rent,INDOWESTERN,1,,,,OF WHITE,40,3,available,,,ASFUN KERI VADU ,TRUE
I-17,INDO-17 ,rent,INDOWESTERN,1,,,,,,3,available,,,,TRUE
I-18[34],INDO-18 [34],rent,INDOWESTERN,1,,,,GULABI,34,3,available,,,LALABHAI VADU,TRUE
I-19[36],INDO-19 [36],rent,INDOWESTERN,1,,,,GULABI,36,3,available,,,LALABHAI VADU,TRUE
I-20[34],INDO-20 [34],rent,INDOWESTERN,1,,,,FALSA,34,3,available,,,MULTI NEW LINER VADU,TRUE
I-21[40],INDO-21 [40],rent,INDOWESTERN,1,,,,WHITE,40,3,available,,,LAKHNAVI SAME BOTUN SAME FEBRIC,TRUE
I-22[36],INDO-22 [36],rent,INDOWESTERN,1,,,,WHITE,36,3,available,,,LAKHNAVI MARUN TUCHUP,TRUE
I-23[34],INDO-23 [34],rent,INDOWESTERN,1,,,,MULTI,34,3,available,,,BARI VADU TUCHUP,TRUE
I-24[36],INDO-24 [36],rent,INDOWESTERN,1,,,,BLUE,36,3,available,,,MULTI DESIGN,TRUE
I-25[36],INDO-25 [36],rent,INDOWESTERN,1,,,,OF WHITE,36,3,available,,,VELVET HATHI MOR,TRUE
I-26[34],INDO-26 [34],rent,INDOWESTERN,1,,,,BLUE,34,3,available,,,MULTI,TRUE
I-27[40],INDO-27 [40],rent,INDOWESTERN,1,,,,MULTI,40,3,available,,,JORJET BOX VADU,TRUE
I-28[40],INDO-28 [40],rent,INDOWESTERN,1,,,,DUDHIYA,40,3,available,,,DUBLE COLOR SED,TRUE
I-29[36],INDO-29 [36],rent,INDOWESTERN,1,,,,FALSA,36,3,available,,,UBHI LINEENG RAMA TUCHUP,TRUE
I-30[32],INDO-30 [32],rent,INDOWESTERN,1,,,,WHITE,32,3,available,,,KOTHARIYA LINER,TRUE
