code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
S-601[34],JODHPURI COAT S-601 [34],rent,JODHPURI COAT,1,,,,RAMA,34,3,available,,,PLEN,TRUE
S-602 ,JODHPURI COAT S-602 ,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-603[42],JODHPURI COAT S-603 [42],rent,JODHPURI COAT,1,,,,FALSA,42,3,available,,,VELVET MULTI 3 FUL,TRUE
S-604[42],JODHPURI COAT S-604 [42],rent,JODHPURI COAT,1,,,,,42,3,available,,,,TRUE
S-605[42],JODHPURI COAT S-605 [42],rent,JODHPURI COAT,1,,,,MARUN,42,3,available,,,SINH SIMBOL,TRUE
S-606[38],JODHPURI COAT S-606 [38],rent,JODHPURI COAT,1,,,,NEVI BLUE,38,3,available,,,SINH TALVAR LOGO,TRUE
S-607[36],JODHPURI COAT S-607 [36],rent,JODHPURI COAT,1,,,,GREEN,36,3,available,,,GOLDEN PRINT,TRUE
S-608[40],JODHPURI COAT S-608 [40],rent,JODHPURI COAT,1,,,,BLUE,40,3,available,,,PLEN,TRUE
S-609,JODHPURI COAT S-609,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-610[36],JODHPURI COAT S-610 [36],rent,JODHPURI COAT,1,,,,RAMA,36,3,available,,,PLEN,TRUE
S-611[36],JODHPURI COAT S-611 [36],rent,JODHPURI COAT,1,,,,GULABI,36,3,available,,,,TRUE
S-612[36],JODHPURI COAT S-612 [36],rent,JODHPURI COAT,1,,,,BLUE,36,3,available,,,SINH TALVAR LOGO,TRUE
S-613[40],JODHPURI COAT S-613 [40],rent,JODHPURI COAT,1,,,,,40,3,available,,,,TRUE
S-614,JODHPURI COAT S-614 ,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-615,JODHPURI COAT S-615,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-616,JODHPURI COAT S-616,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-617,JODHPURI COAT S-617,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-618[40],JODHPURI COAT S-618 [40],rent,JODHPURI COAT,1,,,,RAMA,40,3,available,,,PLEN,TRUE
S-619,JODHPURI COAT S-619 ,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-620[32],JODHPURI COAT S-620 [32],rent,JODHPURI COAT,1,,,,MARUN,32,3,available,,,SINH SIMBOL,TRUE
S-621[38],JODHPURI COAT S-621 [38],rent,JODHPURI COAT,1,,,,RAMA,38,3,available,,,GHAR DESIGN,TRUE
S-622[36],JODHPURI COAT S-622 [36],rent,JODHPURI COAT,1,,,,GREEN,36,3,available,,,GHAR DESIGN,TRUE
S-623[38],JODHPURI COAT S-623 [38],rent,JODHPURI COAT,1,,,,MARUN,38,3,available,,,SINH SIMBOL,TRUE
S-624,JODHPURI COAT S-624 ,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-625[34],JODHPURI COAT S-625 [34],rent,JODHPURI COAT,1,,,,RAMA,34,3,available,,,GHAR DESIGN,TRUE
S-626,JODHPURI COAT S-626 ,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-627[34],JODHPURI COAT S-627 [34]  ,rent,JODHPURI COAT,1,,,,MARUN,34,3,available,,,SINH SIMBOL,TRUE
S-628[38],JODHPURI COAT S-628 [38],rent,JODHPURI COAT,1,,,,WHITE,38,3,available,,,SINH SIMBOL,TRUE
S-629[34],JODHPURI COAT S-629 [34],rent,JODHPURI COAT,1,,,,BLUE,34,3,available,,,GHAR DESIGN,TRUE
S-630[38],JODHPURI COAT S-630 [38],rent,JODHPURI COAT,1,,,,MARUN,38,3,available,,,SINH SIMBOL,TRUE
S-631[42],JODHPURI COAT S-631 [42],rent,JODHPURI COAT,1,,,,BLUE,42,3,available,,,PLEN,TRUE
S-632[34],JODHPURI COAT S-632 [34],rent,JODHPURI COAT,1,,,,,34,3,available,,,,TRUE
S-633,JODHPURI COAT S-633 ,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-634[44],JODHPURI COAT S-634 [44],rent,JODHPURI COAT,1,,,,MARUN,44,3,available,,,SINH SIMBOL,TRUE
S-635[36],JODHPURI COAT S-635 [36],rent,JODHPURI COAT,1,,,,WHITE,36,3,available,,,SINH SIMBOL,TRUE
S-636[38],JODHPURI COAT S-636 [38],rent,JODHPURI COAT,1,,,,RAMA,38,3,available,,,PLEN,TRUE
S-637[46],JODHPURI COAT S-637 [46],rent,JODHPURI COAT,1,,,,BLUE,46,3,available,,,PLEN,TRUE
S-638,JODHPURI COAT S-638 ,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-639[40],JODHPURI COAT S-639 [40],rent,JODHPURI COAT,1,,,,WHITE,40,3,available,,,SINH SIMBOL,TRUE
S-640,JODHPURI COAT S-640 ,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-641[38],JODHPURI COAT S-641 [38],rent,JODHPURI COAT,1,,,,CRIME,38,3,available,,,PRINTED,TRUE
S-642[34],JODHPURI COAT S-642 [34],rent,JODHPURI COAT,1,,,,FALSA,34,3,available,,,VELVET WORK LALABHAI VADU,TRUE
S-643,JODHPURI COAT S-643 ,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-644[42],JODHPURI COAT S-644 [42],rent,JODHPURI COAT,1,,,,BLUE,42,3,available,,,PLEN,TRUE
S-645,JODHPURI COAT S-645 ,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-646[32],JODHPURI COAT S-646 [32],rent,JODHPURI COAT,1,,,,GREEN,32,3,available,,,PLEN,TRUE
S-647[32],JODHPURI COAT S-647 [32],rent,JODHPURI COAT,1,,,,BLUE,32,3,available,,,SINH TALVAR LOGO,TRUE
S-648[40],JODHPURI COAT S-648 [40],rent,JODHPURI COAT,1,,,,RAMA,40,3,available,,,SINH TALVAR LOGO,TRUE
S-649[32],JODHPURI COAT S-649 [32],rent,JODHPURI COAT,1,,,,BLUE,32,3,available,,,BUTI VADU,TRUE
S-650[32],JODHPURI COAT S-650 [32],rent,JODHPURI COAT,1,,,,WHITE,32,3,available,,,SINH SIMBOL,TRUE
S-651,JODHPURI COAT S-651 ,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-652[34],JODHPURI COAT S-652 [34],rent,JODHPURI COAT,1,,,,WHITE,34,3,available,,,SINH SIMBOL,TRUE
S-653,JODHPURI COAT S-653 [,rent,JODHPURI COAT,1,,,,,,3,available,,,,TRUE
S-654[34],JODHPURI COAT S-654 [34],rent,JODHPURI COAT,1,,,,RAMA,34,3,available,,,GHAR DESIGN,TRUE
S-655[34],JODHPURI COAT S-655 [34],rent,JODHPURI COAT,1,,,,RAMA,34,3,available,,,SINH SIMBOL,TRUE
